    x(m)                          z(m)                          y(m)                        u(m/s)
   351600.00000000000       -10.032000000000107        10.712797824101278        1.2135018520328140     
   351200.00000000000       -10.024000000000107        10.710673512283000        1.2137425330994920     
   350800.00000000000       -10.016000000000108        10.708553139893668        1.2139828630601617     
   350400.00000000000       -10.008000000000109        10.706436703067292        1.2142228418793737     
   350000.00000000000       -10.000000000000110        10.704324197929616        1.2144624695237094     
   349600.00000000000       -9.9920000000001110        10.702215620598164        1.2147017459617777     
   349200.00000000000       -9.9840000000001119        10.700110967182274        1.2149406711642141     
   348800.00000000000       -9.9760000000001128        10.698010233783142        1.2151792451036760     
   348400.00000000000       -9.9680000000001137        10.695913416493861        1.2154174677548413     
   348000.00000000000       -9.9600000000001145        10.693820511399455        1.2156553390944043     
   347600.00000000000       -9.9520000000001154        10.691731514576928        1.2158928591010743     
   347200.00000000000       -9.9440000000001163        10.689646422095295        1.2161300277555718     
   346800.00000000000       -9.9360000000001172        10.687565230015629        1.2163668450406258     
   346400.00000000000       -9.9280000000001181        10.685487934391094        1.2166033109409709     
   346000.00000000000       -9.9200000000001189        10.683414531266992        1.2168394254433441     
   345600.00000000000       -9.9120000000001198        10.681345016680796        1.2170751885364828     
   345200.00000000000       -9.9040000000001207        10.679279386662195        1.2173106002111203     
   344800.00000000000       -9.8960000000001216        10.677217637233133        1.2175456604599837     
   344400.00000000000       -9.8880000000001225        10.675159764407846        1.2177803692777907     
   344000.00000000000       -9.8800000000001234        10.673105764192909        1.2180147266612464     
   343600.00000000000       -9.8720000000001242        10.671055632587267        1.2182487326090403     
   343200.00000000000       -9.8640000000001251        10.669009365582282        1.2184823871218431     
   342800.00000000000       -9.8560000000001260        10.666966959161771        1.2187156902023031     
   342400.00000000000       -9.8480000000001269        10.664928409302048        1.2189486418550435     
   342000.00000000000       -9.8400000000001278        10.662893711971959        1.2191812420866590     
   341600.00000000000       -9.8320000000001286        10.660862863132930        1.2194134909057128     
   341200.00000000000       -9.8240000000001295        10.658835858739002        1.2196453883227329     
   340800.00000000000       -9.8160000000001304        10.656812694736871        1.2198769343502087     
   340400.00000000000       -9.8080000000001313        10.654793367065935        1.2201081290025877     
   340000.00000000000       -9.8000000000001322        10.652777871658326        1.2203389722962730     
   339600.00000000000       -9.7920000000001330        10.650766204438957        1.2205694642496183     
   339200.00000000000       -9.7840000000001339        10.648758361325559        1.2207996048829264     
   338800.00000000000       -9.7760000000001348        10.646754338228721        1.2210293942184434     
   338400.00000000000       -9.7680000000001357        10.644754131051934        1.2212588322803577     
   338000.00000000000       -9.7600000000001366        10.642757735691632        1.2214879190947947     
   337600.00000000000       -9.7520000000001374        10.640765148037225        1.2217166546898137     
   337200.00000000000       -9.7440000000001383        10.638776363971152        1.2219450390954050     
   336800.00000000000       -9.7360000000001392        10.636791379368910        1.2221730723434854     
   336400.00000000000       -9.7280000000001401        10.634810190099103        1.2224007544678950     
   336000.00000000000       -9.7200000000001410        10.632832792023477        1.2226280855043936     
   335600.00000000000       -9.7120000000001419        10.630859180996964        1.2228550654906576     
   335200.00000000000       -9.7040000000001427        10.628889352867725        1.2230816944662743     
   334800.00000000000       -9.6960000000001436        10.626923303477186        1.2233079724727411     
   334400.00000000000       -9.6880000000001445        10.624961028660083        1.2235338995534588     
   334000.00000000000       -9.6800000000001454        10.623002524244496        1.2237594757537305     
   333600.00000000000       -9.6720000000001463        10.621047786051902        1.2239847011207556     
   333200.00000000000       -9.6640000000001471        10.619096809897203        1.2242095757036275     
   332800.00000000000       -9.6560000000001480        10.617149591588774        1.2244340995533294     
   332400.00000000000       -9.6480000000001489        10.615206126928504        1.2246582727227298     
   332000.00000000000       -9.6400000000001498        10.613266411711837        1.2248820952665789     
   331600.00000000000       -9.6320000000001507        10.611330441727809        1.2251055672415052     
   331200.00000000000       -9.6240000000001515        10.609398212759093        1.2253286887060113     
   330800.00000000000       -9.6160000000001524        10.607469720582039        1.2255514597204697     
   330400.00000000000       -9.6080000000001533        10.605544960966714        1.2257738803471185     
   330000.00000000000       -9.6000000000001542        10.603623929676948        1.2259959506500586     
   329600.00000000000       -9.5920000000001551        10.601706622470363        1.2262176706952486     
   329200.00000000000       -9.5840000000001559        10.599793035098431        1.2264390405505008     
   328800.00000000000       -9.5760000000001568        10.597883163306498        1.2266600602854778     
   328400.00000000000       -9.5680000000001577        10.595977002833841        1.2268807299716877     
   328000.00000000000       -9.5600000000001586        10.594074549413696        1.2271010496824808     
   327600.00000000000       -9.5520000000001595        10.592175798773306        1.2273210194930437     
   327200.00000000000       -9.5440000000001604        10.590280746633963        1.2275406394803978     
   326800.00000000000       -9.5360000000001612        10.588389388711043        1.2277599097233927     
   326400.00000000000       -9.5280000000001621        10.586501720714054        1.2279788303027033     
   326000.00000000000       -9.5200000000001630        10.584617738346671        1.2281974013008252     
   325600.00000000000       -9.5120000000001639        10.582737437306783        1.2284156228020706     
   325200.00000000000       -9.5040000000001648        10.580860813286529        1.2286334948925635     
   324800.00000000000       -9.4960000000001656        10.578987861972344        1.2288510176602361     
   324400.00000000000       -9.4880000000001665        10.577118579044997        1.2290681911948238     
   324000.00000000000       -9.4800000000001674        10.575252960179631        1.2292850155878619     
   323600.00000000000       -9.4720000000001683        10.573391001045808        1.2295014909326798     
   323200.00000000000       -9.4640000000001692        10.571532697307545        1.2297176173243980     
   322800.00000000000       -9.4560000000001700        10.569678044623361        1.2299333948599227     
   322400.00000000000       -9.4480000000001709        10.567827038646316        1.2301488236379419     
   322000.00000000000       -9.4400000000001718        10.565979675024048        1.2303639037589207     
   321600.00000000000       -9.4320000000001727        10.564135949398821        1.2305786353250971     
   321200.00000000000       -9.4240000000001736        10.562295857407561        1.2307930184404772     
   320800.00000000000       -9.4160000000001745        10.560459394681898        1.2310070532108310     
   320400.00000000000       -9.4080000000001753        10.558626556848207        1.2312207397436881     
   320000.00000000000       -9.4000000000001762        10.556797339527654        1.2314340781483319     
   319600.00000000000       -9.3920000000001771        10.554971738336230        1.2316470685357968     
   319200.00000000000       -9.3840000000001780        10.553149748884794        1.2318597110188623     
   318800.00000000000       -9.3760000000001789        10.551331366779117        1.2320720057120489     
   318400.00000000000       -9.3680000000001797        10.549516587619921        1.2322839527316136     
   318000.00000000000       -9.3600000000001806        10.547705407002923        1.2324955521955447     
   317600.00000000000       -9.3520000000001815        10.545897820518865        1.2327068042235583     
   317200.00000000000       -9.3440000000001824        10.544093823753572        1.2329177089370924     
   316800.00000000000       -9.3360000000001833        10.542293412287979        1.2331282664593024     
   316400.00000000000       -9.3280000000001841        10.540496581698179        1.2333384769150573     
