        L2 Norm                Lmax Norm
   3.1451451944588620E-007   3.8827345782976863E-007

        Y_exact              Y_numerical                     Absolute Error                Relative Error
   10.925576909559073        10.925576954070472       -4.4511399011071262E-008  -4.0740547963308988E-009
   10.923074858893038        10.923074904896305       -4.6003266973571044E-008  -4.2115674906427487E-009
   10.920577062928938        10.920577110419559       -4.7490621213341910E-008  -4.3487281798096437E-009
   10.918083518717232        10.918083567692870       -4.8975637767512126E-008  -4.4857357688784451E-009
   10.915594223299969        10.915594273757337       -5.0457368061529451E-008  -4.6225030932191736E-009
   10.913109173706523        10.913109225642554       -5.1936030587285131E-008  -4.7590498510192767E-009
   10.910628366954501        10.910628420366642       -5.3412140488262594E-008  -4.8954229483275485E-009
   10.908151800052359        10.908151854936278       -5.4883919631265599E-008  -5.0314590993317634E-009
   10.905679469992130        10.905679526346725       -5.6354595656671336E-008  -5.1674538768295568E-009
   10.903211373761373        10.903211431581866       -5.7820493282179086E-008  -5.3030700130536185E-009
   10.900747508329193        10.900747567614234       -5.9285040876488893E-008  -5.4386216019763380E-009
   10.898287870660088        10.898287931405042       -6.0744953955804704E-008  -5.5738070673779609E-009
   10.895832457701427        10.895832519904216       -6.2202788697618416E-008  -5.7088606069426148E-009
   10.893381266393607        10.893381330050428       -6.3656820259438973E-008  -5.8436236373936608E-009
   10.890934293662266        10.890934358771123       -6.5108856972528883E-008  -5.9782618476008542E-009
   10.888491536425100        10.888491602982556       -6.6557456435134554E-008  -6.1126425283503169E-009
   10.886052991587533        10.886053059589823       -6.8002290021240697E-008  -6.2467351641399457E-009
   10.883618656042284        10.883618725486890       -6.9444606509705409E-008  -6.3806541467852411E-009
   10.881188526673188        10.881188597556630       -7.0883441338764896E-008  -6.5143105612964485E-009
   10.878762600351767        10.878762672670851       -7.2319084054583982E-008  -6.6477306943204675E-009
   10.876340873938220        10.876340947690331       -7.3752110196778631E-008  -6.7809671516918622E-009
   10.873923344282785        10.873923419464850       -7.5182065017997957E-008  -6.9139778383233368E-009
   10.871510008224655        10.871510084833224       -7.6608568377878328E-008  -7.0467274849511637E-009
   10.869100862590612        10.869100940623335       -7.8032723394017012E-008  -7.1793172572895038E-009
   10.866695904198751        10.866695983652168       -7.9453416290675705E-008  -7.3116444033347732E-009
   10.864295129855039        10.864295210725839       -8.0870799834542595E-008  -7.4437226592188175E-009
   10.861898536355554        10.861898618639632       -8.2284078217753631E-008  -7.5754784435099371E-009
   10.859506120482937        10.859506204178034       -8.3695097075064950E-008  -7.7070813484971744E-009
   10.857117879011120        10.857117964114764       -8.5103643243655824E-008  -7.8385114900684094E-009
   10.854733808704566        10.854733895212808       -8.6508242347349551E-008  -7.9696327769896452E-009
   10.852353906314420        10.852353994224455       -8.7910034807237025E-008  -8.1005499420809290E-009
   10.849978168583192        10.849978257891328       -8.9308135997612226E-008  -8.2311811701344861E-009
   10.847606592240233        10.847606682944420       -9.0704187272194758E-008  -8.3616774355625530E-009
   10.845239174007588        10.845239266104127       -9.2096538395480820E-008  -8.4918863399716827E-009
   10.842875910595581        10.842876004080280       -9.3484699092982737E-008  -8.6217623316734782E-009
   10.840516798701110        10.840516893572184       -9.4871074551861057E-008  -8.7515269164315418E-009
   10.838161835015100        10.838161931268651       -9.6253550907476892E-008  -8.8809848360547932E-009
   10.835811016214446        10.835811113848033       -9.7633586548795392E-008  -9.0102703344215622E-009
   10.833464338968735        10.833464437978254       -9.9009518805814878E-008  -9.1392296783283498E-009
   10.831121799933488        10.831121900316850       -1.0038336206719123E-007  -9.2680484922446040E-009
   10.828783395758208        10.828783497511003       -1.0175279463453535E-007  -9.3965121395256093E-009
   10.826449123078490        10.826449226197573       -1.0311908305027373E-007  -9.5247372317537778E-009
   10.824118978520243        10.824119083003135       -1.0448289167186431E-007  -9.6527848482822277E-009
