        L2 Norm                Lmax Norm
   3.9073088805519356E-004   4.8394023263576003E-004

        Y_exact              Y_numerical                     Absolute Error                Relative Error
   10.893381266393607        10.893294453467444        8.6812926163304382E-005   7.9693278000949745E-006
   10.890934293662266        10.890845521500134        8.8772162131434129E-005   8.1510143884618867E-006
   10.888491536425100        10.888400810097083        9.0726328016543789E-005   8.3323137748730775E-006
   10.886052991587533        10.885960316166841        9.2675420692245325E-005   8.5132252032819003E-006
   10.883618656042284        10.883524036606774        9.4619435509812888E-005   8.6937477782063599E-006
   10.881188526673188        10.881091968303101        9.6558370087151957E-005   8.8738808127859620E-006
   10.878762600351767        10.878664108130923        9.8492220843127143E-005   9.0536235104479974E-006
   10.876340873938220        10.876240452954260        1.0042098396034760E-004   9.2329750533081722E-006
   10.873923344282785        10.873820999626076        1.0234465670855286E-004   9.4119347238513430E-006
   10.871510008224655        10.871405744988319        1.0426323633616619E-004   9.5905018030878515E-006
   10.869100862590612        10.868994685871950        1.0617671866164358E-004   9.7686754409542512E-006
   10.866695904198751        10.866587819096980        1.0808510177184871E-004   9.9464549965078176E-006
   10.864295129855039        10.864185141472495        1.0998838254394627E-004   1.0123839718022631E-005
   10.861898536355554        10.861786649796699        1.1188655885518983E-004   1.0300828946311503E-005
   10.859506120482937        10.859392340856941        1.1377962599645741E-004   1.0477421784573522E-005
   10.857117879011120        10.857002211429750        1.1566758137071531E-004   1.0653617530884766E-005
   10.854733808704566        10.854616258280871        1.1755042369543389E-004   1.0829415604938054E-005
   10.852353906314420        10.852234478165293        1.1942814912657695E-004   1.1004815191023942E-005
   10.849978168583192        10.849856867827292        1.2130075590022216E-004   1.1179815665570303E-005
   10.847606592240233        10.847483424000455        1.2316823977798208E-004   1.1354416177490223E-005
   10.845239174007588        10.845114143407720        1.2503059986812559E-004   1.1528616184674113E-005
   10.842875910595581        10.842749022761410        1.2688783417047489E-004   1.1702415043455492E-005
   10.840516798701110        10.840388058763264        1.2873993784623394E-004   1.1875811848901828E-005
   10.838161835015100        10.838031248104473        1.3058691062717287E-004   1.2048806118144750E-005
   10.835811016214446        10.835678587465717        1.3242874872965160E-004   1.2221397044622541E-005
   10.833464338968735        10.833330073517198        1.3426545153727432E-004   1.2393584114576536E-005
   10.831121799933488        10.830985702918671        1.3609701481698266E-004   1.2565366481043396E-005
   10.828783395758208        10.828645472319486        1.3792343872154333E-004   1.2736743702489233E-005
   10.826449123078490        10.826309378358618        1.3974471987232562E-004   1.2907715011973320E-005
   10.824118978520243        10.823977417664699        1.4156085554439812E-004   1.3078279703439735E-005
   10.821792958700147        10.821649586856063        1.4337184408397263E-004   1.3248437170359028E-005
   10.819471060225723        10.819325882540774        1.4517768494926031E-004   1.3418186909613261E-005
   10.817153279691563        10.817006301316660        1.4697837490373900E-004   1.3587528169696962E-005
   10.814839613684072        10.814690839771355        1.4877391271639340E-004   1.3756460385057307E-005
   10.812530058778117        10.812379494482329        1.5056429578841346E-004   1.3924982864318451E-005
   10.810224611539285        10.810072262016925        1.5234952235942956E-004   1.4093094994234006E-005
   10.807923268524098        10.807769138932400        1.5412959169758267E-004   1.4260796257358164E-005
   10.805626026278807        10.805470121775951        1.5590450285607460E-004   1.4428086117076577E-005
   10.803332881336788        10.803175207084756        1.5767425203172536E-004   1.4594963773088420E-005
   10.801043830224600        10.800884391386015        1.5943883858504648E-004   1.4761428718480728E-005
